,name,address,sido,gugun
0,충남서천장항점,충청남도 서천군 장항읍 장항로 125-1,충청남도,서천군
1,충남예산덕산점,충청남도 예산군 덕산면 읍내리 342-1,충청남도,예산군
2,충북진천덕산점,충청북도 진천군 덕산면 덕금로 809,충청북도,진천군
3,충주연수동점,충청북도 충주시 연원로 28(연수동),충청북도,충주시
4,충청지사, ,,
5,충효점,경상북도 경주시 충효중앙길 65(충효동),경상북도,경주시
6,칠곡2점,대구광역시 북구 구암동 674-4,대구광역시,북구
7,칠금점,"충청북도 충주시 금릉로 45, 109(칠금동, 현대아파트상가동)",충청북도,충주시
8,칠보점,경기도 수원시권선구 호매실동 470-8 상가 102,경기도,수원시권선구
9,칠성점,"대구광역시 북구 칠성로15길  8, 1층",대구광역시,북구
10,침산점,대구광역시 북구 침산동 1466-1,대구광역시,북구
11,탄현점,경기도 고양시일산서구 탄현로 74,경기도,고양시일산서구
12,탕정점,충청남도 아산시 탕정면 탕정면로 230-11,충청남도,아산시
13,태백점,강원도 태백시 먹거리길  66,강원도,태백시
14,태백주공점,강원도 태백시 감천로 28(황지동),강원도,태백시
15,태안점,충청남도 태안군 태안읍 시장2길 42,충청남도,태안군
16,태장점,강원도 원주시 북원로 2696(태장동),강원도,원주시
17,태전동점,"경기도 광주시 태봉로 31-3,  105호(태전동)",경기도,광주시
18,태전점,대구광역시 북구 태전동 162-30,대구광역시,북구
19,"태평1,3동점","경기도 성남시수정구 남문로 14(태평동, 1층)",경기도,성남시수정구
20,태평상가점,"인천광역시 계양구 계산4동 1085-2, 3 태평@상가 114",인천광역시,계양구
21,토곡점,부산광역시 연제구 연산동 410-2,부산광역시,연제구
22,통영1점,"경상남도 통영시 중앙로 255 106호(북신동,동우상가)",경상남도,통영시
23,통영2점,경상남도 통영시 도천동 1021-1 영생상가나동 111호,경상남도,통영시
24,퇴계동점,"강원도 춘천시 행촌로32번길  5-6, 1층",강원도,춘천시
25,퇴계원점,경기도 남양주시 퇴계원면 경춘북로 520번길 4,경기도,남양주시
26,퇴계주공점,강원도 춘천시 지석로 74-11 A13(퇴계동),강원도,춘천시
27,퇴촌점,경기도 광주시 퇴촌면 광동로 97,경기도,광주시
28,파동점,대구광역시 수성구 파동 199-22 1층,대구광역시,수성구
29,파인힐(공단점),경기도 시흥시 마유로 226 120호,경기도,시흥시
30,파장2점,경기도 수원시장안구 파장동 627-4,경기도,수원시장안구
31,파장점,경기도 수원시장안구 정자동 435-2,경기도,수원시장안구
32,판암2점,대전광역시 동구 판암동 234 6단지상가 101,대전광역시,동구
33,팽성점,"경기도 평택시 팽성읍 안정쇼핑로 77-2, 12",경기도,평택시
34,평거점,경상남도 진주시 진양호로 187,경상남도,진주시
35,평내점,경기도 남양주시 경춘로 1302,경기도,남양주시
36,평리점,대구광역시 서구 평리동 618-1,대구광역시,서구
37,평원점,강원도 원주시 평원로 67(평원동),강원도,원주시
38,평창점(강원),강원도 평창군 평창읍 평창중앙로 84,강원도,평창군
39,평촌3점,경기도 안양시동안구 관양동 1589-1 한가람상가 103호,경기도,안양시동안구
40,평촌5점,"경기도 안양시동안구 동안로 2.109(호계동,무궁화진흥아파트상가)",경기도,안양시동안구
41,평택1점,"경기도 평택시 중앙로 19(통복동, 2층)",경기도,평택시
42,평택지산점,경기도 평택시 지산동 1130,경기도,평택시
43,평택합정점,경기도 평택시 합정동 773-1,경기도,평택시
44,포남동점,강원도 강릉시  강릉대로527번 15,강원도,강릉시
45,포남로얄점,강원도 강릉시  경강로  2265(포남동),강원도,강릉시
46,포도원점,경기도 안양시동안구 호계동 859-13,경기도,안양시동안구
47,포승점,경기도 평택시 포승읍 석정리 1257-13 1층 3,경기도,평택시
48,포천이동점,경기도 포천시 이동면 화동로 2105,경기도,포천시
49,포천일동점,경기도 포천시 일동면 회동로 1073,경기도,포천시
50,포천점,경기도 포천시 중앙로 184,경기도,포천시
51,포항오천점,"경상북도 포항시남구 오천읍 해병로337번길, 18-5",경상북도,포항시남구
52,포항이동점,경상북도 포항시남구 대잠동 469-3,경상북도,포항시남구
53,포항장성점,경상북도 포항시북구 성실로 24-1,경상북도,포항시북구
54,포항터미널점,경상북도 포항시남구 중섬로 25(대잠동),경상북도,포항시남구
55,표선점,제주특별자치도 서귀포시 표선면 표선리 839-7,제주특별자치도,서귀포시
56,풍납점,서울특별시 송파구 풍성로 24(풍납동),서울특별시,송파구
57,풍동식사점,경기도 고양시일산동구 숲속마을2로 100,경기도,고양시일산동구
58,풍무2점,"경기도 김포시 풍무로 51, 101(풍무동)",경기도,김포시
59,하남신도시점,경기도 하남시 신장2동 528 현대A 116-115,경기도,하남시
60,하당동아점,전라남도 목포시 신흥로45번길 2 상가112호,전라남도,목포시
61,하당부영점,전라남도 목포시 삼향천로91번길 26(옥암동),전라남도,목포시
62,하대원점,"경기도 성남시중원구 마지로155번길 25-7(하대원동,1층)",경기도,성남시중원구
63,하동점,경상남도 하동군 하동읍 읍내리 1283-2,경상남도,하동군
64,하북점,경기도 평택시 진위면 하북4길 3,경기도,평택시
65,하성점,경기도 김포시 하성면 애기봉로806번길 67,경기도,김포시
66,하소동점,충청북도 제천시 용두대로21길 9(하소동),충청북도,제천시
67,하안1점,"경기도 광명시 안현로 19(하안동, 단지상가 111호)",경기도,광명시
68,하안5점,경기도 광명시 하안1동 702-2 5단지 일반상가 109,경기도,광명시
69,하안7점,경기도 광명시 하안3동 295-1 주공7단지 종합상가 106,경기도,광명시
70,하안9점,경기도 광명시 하안동 13-2 9단지 종합상가 101,경기도,광명시
71,학다리점,강원도 홍천군  홍천읍 꽃뫼로 120,강원도,홍천군
72,학성점,강원도 원주시 천사로 164(일산동),강원도,원주시
73,학익점,인천광역시 미추홀구 한나루로 425  1층,인천광역시,미추홀구
74,학장점,부산광역시 사상구 학감대로 129,부산광역시,사상구
75,학하.한밭대점,대전광역시 유성구 학하남로19번길 16(계산동),대전광역시,유성구
76,한대역점,"경기도 안산시상록구 사동 1186-8, 101호",경기도,안산시상록구
77,한림점,제주특별자치도 제주시 한림읍 한림중앙로 3-1,제주특별자치도,제주시
78,한솔새롬점,세종특별자치시   새롬북로 13 상가3동 지하1층 130호(새롬동),세종특별자치시,새롬북로
79,한신점,인천광역시 서구 서곶로 12 한신종합상가 208호,인천광역시,서구
80,한아름점,경기도 부천시원미구 상동 393,경기도,부천시원미구
81,한주점,경기도 의정부시 평화로322번길 18(호원동),경기도,의정부시
82,함덕점,제주특별자치도 제주시 초천읍 평사길 4-3,제주특별자치도,제주시
83,함백점,강원도 정선군 신동읍 함백로 319,강원도,정선군
84,함양점,경상남도 함양군 함양읍 용평리 702-12,경상남도,함양군
85,함창점,경상북도 상주시 함창읍 구향리 115-8,경상북도,상주시
86,함평점,전라남도 함평군 함평읍 광남길 83,전라남도,함평군
87,합덕점,충청남도 당진시 합덕읍 합덕시장로 176,충청남도,당진시
88,합포점,경상남도 창원시마산합포구 장군동4가 24-6,경상남도,창원시마산합포구
89,해남점,전라남도 해남군 해남읍 중앙1로 98,전라남도,해남군
90,해미점,충청남도 서산시 해미면 남문5로 4,충청남도,서산시
91,해방촌점,서울특별시 용산구 용산동2가 1-46,서울특별시,용산구
92,해운대점,부산광역시 해운대구 우동 541-5 해운대비치오피스텔 101,부산광역시,해운대구
93,해운대좌동주공2,부산광역시 해운대구 좌동순환로 118 주공2단지 분산상가 나-105,부산광역시,해운대구
94,행당동점,"서울특별시 성동구 행당로 119 (행당동,1층)",서울특별시,성동구
95,향남점,경기도 화성시 향남읍 행정리 445-6,경기도,화성시
96,혁신점,강원도 원주시 건강로 17-3 (101),강원도,원주시
97,호계2동점,"경기도 안양시동안구 귀인로110번길 22, 1층(호계동)",경기도,안양시동안구
98,호계매곡점,울산광역시 북구 호계동 255-9,울산광역시,북구
99,호성점,전라북도 전주시덕진구 호성동 2길 9,전라북도,전주시덕진구
100,호원점,경기도 의정부시 신흥로 119번길 54,경기도,의정부시
101,홍도점,대전광역시 동구 홍도동 72-32,대전광역시,동구
102,홍성2점,충청남도 홍성군 홍성읍 조양로 190,충청남도,홍성군
103,홍성주공점,충청남도 홍성군 홍성읍 문화로72번길 92,충청남도,홍성군
104,홍은1점,서울특별시 서대문구 홍은2동 9-56 1층,서울특별시,서대문구
105,홍은동점,서울특별시 서대문구 홍은동 427-4,서울특별시,서대문구
106,홍익대점,"서울특별시 마포구 독막로22길 21, 1층101호(창전동)",서울특별시,마포구
107,홍익점,"경기도 안성시 금광면 종합운동장로 132, 홍익아파트상가 107",경기도,안성시
108,화개점,경상남도 하동군 화개면 탑리 663-13,경상남도,하동군
109,화곡1점,"서울특별시 강서구 월정로28길 24(화곡동, 1층)",서울특별시,강서구
110,화명점,부산광역시 북구 화명동 1417-6,부산광역시,북구
111,화봉.연암점,울산광역시 북구 송내1길 18(화봉동),울산광역시,북구
112,화서점,경기도 수원시장안구 화서동 71-27,경기도,수원시장안구
113,화성남양점,경기도 화성시 남양면 남양리 1267-11,경기도,화성시
114,화성송산점,경기도 화성시 수노을1로191 상가3동 105호,경기도,화성시
115,화성시청점,경기도 화성시 남양읍 역골로 3-20 ,경기도,화성시
116,화순점,전라남도 화순군 화순읍 광덕로 142,전라남도,화순군
117,화양동점,"서울특별시 광진구 능동로13길 70(화양동, 1층)",서울특별시,광진구
118,화원점,"대구광역시 달성군 화원읍 화원로2길, 27",대구광역시,달성군
119,화정점,광주광역시 서구 화정동 766-1,광주광역시,서구
120,환호점,경상북도 포항시북구 삼호로 458,경상북도,포항시북구
121,황간점,충청북도 영동군 황간면 남성리 558-1,충청북도,영동군
122,황성점,경상북도 경주시 용담로92번길 43-4,경상북도,경주시
123,황제점,대구광역시 서구 내당동 69-26,대구광역시,서구
124,회원교방점,경상남도 창원시마산회원구 회원남로 39-1,경상남도,창원시마산회원구
125,횡성점,강원도 횡성군 횡성읍 태기로 35,강원도,횡성군
126,횡성중앙점,"강원도 횡성군 횡성읍 문정로19번길, 13-3",강원도,횡성군
127,효가리점,"강원도 동해시 청운로 71(쇄운동, 104)",강원도,동해시
128,효돈점,제주특별자치도 서귀포시 하효동 142-1,제주특별자치도,서귀포시
129,효성1점,인천광역시 계양구 효성2동 273-91 층,인천광역시,계양구
130,효성2점,인천광역시 계양구 효성1동 31-4,인천광역시,계양구
131,효성점,인천광역시 남동구 백범로247번길 93-26,인천광역시,남동구
132,효자점(포항),경상북도 포항시남구 효자동 119-1,경상북도,포항시남구
133,후곡점,경기도 고양시일산서구 강선로 140,경기도,고양시일산서구
134,후평2동점,강원도 춘천시 후만로 37,강원도,춘천시
135,후포점,경상북도 울진군 후포면 후포리 623-130,경상북도,울진군
136,훼미리점,"서울특별시 송파구 중대로 24(문정동, 훼미리상가125호)",서울특별시,송파구
137,휴천점,경상북도 영주시 휴천2동 303-21,경상북도,영주시
138,흑석동점,서울특별시 동작구 흑석동 96-3,서울특별시,동작구
139,흥업점,강원도 원주시 흥업면 남원로 82,강원도,원주시
140,흰돌점,경기도 고양시일산동구 일산로 11  ,경기도,고양시일산동구
141,CNTTEST,00 18 신사동 주소,00,18
